Day,Revenue
2024-10-04,0.00
2024-10-05,0.00
2024-10-06,0.00
2024-10-07,0.00
2024-10-08,0.00
2024-10-09,0.00
2024-10-10,0.00
2024-10-11,0.00
2024-10-12,0.00
2024-10-13,0.00
2024-10-14,0.00
2024-10-15,0.00
2024-10-16,0.00
2024-10-17,0.00
2024-10-18,0.00
2024-10-19,0.00
2024-10-20,0.00
2024-10-21,0.00
2024-10-22,0.00
2024-10-23,0.00
2024-10-24,0.00
2024-10-25,0.00
2024-10-26,0.00
2024-10-27,0.00
2024-10-28,0.00
2024-10-29,0.00
2024-10-30,0.00
2024-10-31,0.00
2024-11-01,0.00
2024-11-02,0.00
2024-11-03,0.00
2024-11-04,4623.00
