Day,Revenue
2024-09-19,0.00
2024-09-20,0.00
2024-09-21,0.00
2024-09-22,0.00
2024-09-23,0.00
2024-09-24,0.00
2024-09-25,0.00
2024-09-26,0.00
2024-09-27,0.00
2024-09-28,0.00
2024-09-29,0.00
2024-09-30,0.00
2024-10-01,0.00
2024-10-02,5502.75
2024-10-03,1729.75
2024-10-04,0.00
2024-10-05,5170.00
2024-10-06,0.00
2024-10-07,0.00
2024-10-08,0.00
2024-10-09,1394.00
2024-10-10,1550.00
2024-10-11,0.00
2024-10-12,0.00
2024-10-13,0.00
2024-10-14,0.00
2024-10-15,0.00
2024-10-16,0.00
2024-10-17,0.00
2024-10-18,0.00
2024-10-19,0.00
